fonte;http://geogeral.com/h/b7/cidbolsc.htm
fonteatualizada;Esta página foi atualizada em 28/08/17
Fonte;População Cálculo: World Gazetteer (2013). 
Fontes complementares: IBGE (2015); CIA - The World Factbook (2015); 
City Population; GeoHive (2015), Wikipédia (2015), dentre outras. 
Fontes das bandeiras; the flag research center, world flag database, world flags collection, multimediapalace, caccioppoli, vexilla mundi e wikipédia. Criação e Organização: Geografia na Internet: www.geogeral.com/
bandeiradepartamento;http://geogeral.com/i/m/s/bol-scruz.gif
Obs;Muncipio Com Asteristo (*) Capital do Departamento
Pozo del Tigre; [Santa Cruz] - Bolívia; Pop.: 760;
Pucará; [Santa Cruz] - Bolívia; Pop.: 1.026;
Pueblo Nuevo; [Santa Cruz] - Bolívia; Pop.: 1.204;
Pueblo Nuevo de Mineros; [Santa Cruz] - Bolívia; Pop.: 1.557;
Puente Caimanes; [Santa Cruz] - Bolívia; Pop.: 2.418;
Puerto Avaroa; [Santa Cruz] - Bolívia; Pop.: 941;
Puerto Ibañez; [Santa Cruz] - Bolívia; Pop.: 804;
Puerto Nuevo; [Santa Cruz] - Bolívia; Pop.: 721;
Puerto Pailas; [Santa Cruz] - Bolívia; Pop.: 3.622;
Puerto Quijarro; [Santa Cruz] - Bolívia; Pop.: 13.424;
Puerto Rico; [Santa Cruz] - Bolívia; Pop.: 2.570;
Puerto Rico de Saturnino Saucedo; [Santa Cruz] - Bolívia; Pop.: 1.371;
Puerto Suárez; [Santa Cruz] - Bolívia; Pop.: 13.637;
Puesto Fernández Alonzo; [Santa Cruz] - Bolívia; Pop.: 8.590;
Pulquina; [Santa Cruz] - Bolívia; Pop.: 937;
Quebrada Estancia Villa Florida; [Santa Cruz] - Bolívia; Pop.: 870;
Quebrada Seca; [Santa Cruz] - Bolívia; Pop.: 867;
Quirusillas; [Santa Cruz] - Bolívia; Pop.: 985;
Rancho Nuevo; [Santa Cruz] - Bolívia; Pop.: 801;
Rincón de Palometas; [Santa Cruz] - Bolívia; Pop.: 1.075;
Río Seco; [Santa Cruz] - Bolívia; Pop.: 863;
Roboré; [Santa Cruz] - Bolívia; Pop.: 11.064;
Sagrado Corazón; [Santa Cruz] - Bolívia; Pop.: 2.344;
Saipina; [Santa Cruz] - Bolívia; Pop.: 3.768;
Samaipata; [Santa Cruz] - Bolívia; Pop.: 3.658;
Samaria; [Santa Cruz] - Bolívia; Pop.: 814;
San Antonio; [Santa Cruz] - Bolívia; Pop.: 2.053;
San Carlos; [Santa Cruz] - Bolívia; Pop.: 4.755;
San German; [Santa Cruz] - Bolívia; Pop.: 2.432;
San Ignacio (San Ignacio de Velasco, Velasco); [Santa Cruz] - Bolívia; Pop.: 32.449;
San Isidro; [Santa Cruz] - Bolívia; Pop.: 2.322;
San Isidro del Espino; [Santa Cruz] - Bolívia; Pop.: 795;
San Javier; [Santa Cruz] - Bolívia; Pop.: 13.312;
San Javierito; [Santa Cruz] - Bolívia; Pop.: 1.321;
San Joaquín; [Santa Cruz] - Bolívia; Pop.: 773;
San José (San José de Chiquitos); [Santa Cruz] - Bolívia; Pop.: 11.684;
San José de la Capilla; [Santa Cruz] - Bolívia; Pop.: 966;
San José del Norte; [Santa Cruz] - Bolívia; Pop.: 1.550;
San José Obrero; [Santa Cruz] - Bolívia; Pop.: 763;
San Juan (San Juan de Yapacaní, San Juan del Surutu); [Santa Cruz] - Bolívia; Pop.: 14.130;
San Juan de Lomerio; [Santa Cruz] - Bolívia; Pop.: 784;
